respid,fdate,qage,s1,s1a,s1com,s2,q1,q2,q3,q4,q5,q6,q7,d1,d2,d3,d4,d5,d7,d8,d9,d10,d11,d12,d13_1,d13_2,d13_3,d13_4,d13_5,d13_6,d14a,d14b,d14c,d15,sex,party_co,age,race,cong_dis,weight
113690,210623,63,60-64, ,60-64,Yes,Not at all likely,Very important,Very important,Very important,Very important,Somewhat support,Somewhat favorable,Male,60-64 years,No,Yes,"Married,",Always,Republican,Conservative,"Post-graduate study, but with no degree",Employed full-time,No,White/Caucasian, , , , , ,No,No,No,"$100,000 to less than $125,000",F,E,60,C,5,1.27489
113743,210623,55,55-59, ,55-59,Yes,Extremely likely,Extremely important,Very important,Very important,Very important,Somewhat support,Very favorable,Female,55-59 years,No,Yes,"Widowed,",Most of the time,Republican,Moderate,2-year college degree,Employed full-time,No,White/Caucasian, , , , , ,Yes,Yes,No,"$60,000 to less than $75,000",F,S,79,C,2,1.283263
113787,210623,54,50-54, ,50-54,Yes,Extremely likely,Extremely important,Extremely important,Extremely important,Extremely important,Strongly support,Extremely favorable,Female,50-54 years,No,Yes,"Married,",Always,Democrat,Conservative,Graduate or professional degree,Employed full-time,No,Black/African American, , , , , ,No,No,No,"$35,000 to less than $50,000",F,E,54,B,7,.922958
113820,210623,65,65-69, ,65-69,Yes,Extremely likely,Extremely important,Extremely important,Extremely important,Extremely important,Strongly support,Extremely favorable,Male,65-69 years,No,Yes,"Married,",Most of the time,Democrat,Liberal,"Post-graduate study, but with no degree","Retired and not working at all,",No,White/Caucasian, , , , , ,No,No,No,"$50,000 to less than $60,000",M,E,56,C,3,1.079787
113849,210630,79,75+, ,75+,Yes,Not at all likely,Very important,Very important,Extremely important,Extremely important,Strongly support,Extremely favorable,Female,75 + years,No,Yes,"Widowed,",Most of the time,Democrat,Moderate,"Post-graduate study, but with no degree",Employed part-time,No,White/Caucasian, , , , , ,No,No,No,"$60,000 to less than $75,000",F,U,75, ,1,1.063092
113958,210623,79,75+, ,75+,Yes,Not at all likely,Very important,Very important,Extremely important,Extremely important,Somewhat support,Very favorable,Male,75 + years,No,Yes,"Divorced,",Most of the time,Republican,Conservative,"Post high school education, but with no degree","Retired and not working at all,",No,White/Caucasian, , , , , ,No,No,No,"$35,000 to less than $50,000",M,U,79,C,3,.995835
113964,210623,56,55-59, ,55-59,Yes,Very Likely,Very important,Somewhat important,Not at all important,Don't know or refused [DO NOT READ],Don't know or refused [DO NOT READ],Don't know or refused [DO NOT READ],Male,55-59 years,Yes,No,"Married,",Most of the time,Something else,Moderate,High school graduate or equivalent,"Unemployed, but looking for work",No,Asian, , , , , ,No,Yes,No,Don't know or refused [DO NOT READ],F,E,57,C,1,.468468
114007,210623,85,75+, ,75+,Yes,Not at all likely,Extremely important,Extremely important,Extremely important,Extremely important,Strongly support,Very favorable,Male,75 + years,Yes,Yes,"Married,",Always,Republican,Moderate,Graduate or professional degree,"Retired and not working at all,",No,White/Caucasian, , , , , ,No,Yes,Yes,"$150,000 to less than $200,000",M,S,61,C,4,.995835
114031,210623,54,50-54, ,50-54,Yes,Somewhat Likely,Very important,Very important,Extremely important,Very important,Strongly support,Extremely favorable,Female,50-54 years,Don't know or refused [DO NOT READ],No,Currently Single and never been married,Always,Democrat,Moderate,4-year college degree,"Unemployed, but looking for work",No,Black/African American, , , , , ,No,No,No,Don't know or refused [DO NOT READ],M,E,49,B,6,.922958
114087,210626,68,65-69, ,65-69,Yes,Not at all likely,Very important,Very important,Very important,Very important,Strongly support,Extremely favorable,Male,65-69 years,No,Yes,"Married,",Always,Don't know or refused [DO NOT READ],Conservative,Graduate or professional degree,"Retired and not working at all,",No,Pacific Islander/Native Hawaiian/Other Race, , , , , ,No,No,No,Don't know or refused [DO NOT READ],M,U,68,C,5,.401948
114115,210623,52,50-54, ,50-54,Yes,Not very Likely,Very important,Very important,Very important,Very important,Strongly support,Somewhat favorable,Female,50-54 years,No,Yes,"Divorced,",Never vote,Don't know or refused [DO NOT READ],Moderate,Graduate or professional degree,Employed full-time,No,White/Caucasian, , , , , ,No,No,Yes,"$60,000 to less than $75,000",F,S,52,C,4,1.225328
114149,210623,64,60-64, ,60-64,Yes,Not very Likely,Somewhat important,Not very important,Not very important,Somewhat important,Somewhat oppose,Not very favorable,Male,60-64 years,No,Yes,"Married,",Always,Independent,Moderate,Graduate or professional degree,"Retired and not working at all,",No,White/Caucasian, , , , , ,No,No,No,"$75,000 to less than $100,000",F,S,70,C,1,1.27489
114217,210625,50,50-54, ,50-54,Yes,Not very Likely,Very important,Somewhat important,Not very important,Not at all important,Strongly oppose,Not at all favorable,Male,50-54 years,No,Yes,"Divorced,",Always,Independent,Moderate,"Post high school education, but with no degree",Self-employed full-time,No,Black/African American, , , , , ,No,Yes,No,"$75,000 to less than $100,000",M,E,50,B,1,.84617
114389,210625,53,50-54, ,50-54,Yes,Don't know or refused [DO NOT READ],Very important,Very important,Very important,Somewhat important,Somewhat support,Very favorable,Male,50-54 years,No,Yes,"Married,",About half the time,Independent,Moderate,"0 to 12th grade, but with no diploma",Self-employed full-time,Yes,Pacific Islander/Native Hawaiian/Other Race, , , , , ,Yes,No,No,"$50,000 to less than $60,000",M,U,52,H,7,.418177
114393,210629,61,60-64, ,60-64,Yes,Not very Likely,Extremely important,Extremely important,Extremely important,Extremely important,Strongly support,Very favorable,Female,60-64 years,No,Yes,"Married,",Always,Democrat,Liberal,"Post-graduate study, but with no degree",Employed full-time,No,White/Caucasian, , , , , ,No,No,No,"$75,000 to less than $100,000",M,E,59,C,2,1.079926
114489,210623,52,50-54, ,50-54,Yes,Extremely likely,Extremely important,Extremely important,Extremely important,Very important,Strongly support,Extremely favorable,Female,50-54 years,No,Yes,"Married,",Always,Independent,Liberal,"Post-graduate study, but with no degree",Employed full-time,Yes,White/Caucasian, , , , , ,No,No,Yes,"$125,000 to less than $150,000",F,U,51,H,2,.456126
114607,210625,64,60-64, ,60-64,Yes,Extremely likely,Extremely important,Extremely important,Extremely important,Extremely important,Strongly support,Extremely favorable,Male,60-64 years,No,Yes,"Married,",Always,Independent,Liberal,Graduate or professional degree,Employed part-time,No,White/Caucasian, , , , , ,No,No,No,"$75,000 to less than $100,000",M,S,64,C,5,1.27489
114784,210625,58,55-59, ,55-59,Yes,Not very Likely,Very important,Very important,Extremely important,Very important,Somewhat support,Very favorable,Female,55-59 years,No,Yes,"Widowed,",Always,Republican,Conservative,High school graduate or equivalent,Employed full-time,No,White/Caucasian, , , , , ,No,Yes,No,"$35,000 to less than $50,000",F,E,59,C,6,1.283263
114806,210623,81,75+, ,75+,Yes,Not very Likely,Don't know or refused [DO NOT READ],Somewhat important,Somewhat important,Extremely important,Strongly support,Extremely favorable,Female,75 + years,Yes,Yes,"Married,",Always,Republican,Conservative,"Post high school education, but with no degree","Retired and not working at all,",No,White/Caucasian, , , , , ,No,No,No,Don't know or refused [DO NOT READ],F,S,80,C,5,1.063092
114896,210623,56,55-59, ,55-59,Yes,Extremely likely,Extremely important,Extremely important,Extremely important,Extremely important,Neither support or oppose [DO NOT READ],Not very favorable,Male,55-59 years,No,Yes,"Married,",Always,Don't know or refused [DO NOT READ],Don't know or refused [DO NOT READ],Don't know or refused [DO NOT READ],Don't know or refused [DO NOT READ],No,White/Caucasian, , , , , ,No,No,No,Don't know or refused [DO NOT READ],M,S,56,C,3,1.258484
114931,210623,72,70-74, ,70-74,Yes,Somewhat Likely,Very important,Somewhat important,Don't know or refused [DO NOT READ],Very important,Somewhat support,Very favorable,Female,70-74 years,No,No,"Married,",Most of the time,Republican,Moderate,High school graduate or equivalent,"Retired and not working at all,",No,White/Caucasian, , , , , ,No,No,No,"Less than $15,000",F,S,72,C,6,1.062288
114956,210623,78,75+, ,75+,Yes,Very Likely,Extremely important,Somewhat important,Very important,Very important,Somewhat support,Somewhat favorable,Female,75 + years,No,Yes,"Married,",Always,Republican,Conservative,"Post high school education, but with no degree","Retired and not working at all,",No,White/Caucasian, , , , , ,No,No,No,"$25,000 to less than $35,000",F,S,77,C,2,1.063092
114983,210623,74,70-74, ,70-74,Yes,Not very Likely,Very important,Very important,Very important,Very important,Strongly support,Somewhat favorable,Female,70-74 years,No,Yes,"Married,",Most of the time,Democrat,Moderate,Graduate or professional degree,"Retired and not working at all,",No,White/Caucasian, , , , , ,No,No,No,Don't know or refused [DO NOT READ],F,E,74,C,5,1.062288
115045,210625,62,60-64, ,60-64,Yes,Somewhat Likely,Extremely important,Extremely important,Extremely important,Extremely important,Somewhat support,Extremely favorable,Female,60-64 years,Yes,Yes,"Married,",Always,Democrat,Moderate,2-year college degree,Employed full-time,No,Black/African American, , , , , ,No,No,No,"$50,000 to less than $60,000",F,E,62,B,3,.813436
115069,210623,51,50-54, ,50-54,Yes,Extremely likely,Extremely important,Extremely important,Extremely important,Extremely important,Strongly support,Extremely favorable,Female,50-54 years,No,Yes,"Married,",Always,Democrat,Liberal,2-year college degree,Employed full-time,No,Black/African American, , , , , ,No,Yes,No,"$50,000 to less than $60,000",F,U,51,C,7,.922958
115076,210623,54,50-54, ,50-54,Yes,Extremely likely,Somewhat important,Extremely important,Somewhat important,Not at all important,Strongly oppose,Not at all favorable,Female,50-54 years,Yes,Yes,"Divorced,",Always,Republican,Conservative,Graduate or professional degree,Not in the labor force for other reasons,Yes,White/Caucasian, , , , , ,No,No,No,"$15,000 to less than $25,000",F,S,54,C,3,.456126
115167,210625,67,65-69, ,65-69,Yes,Somewhat Likely,Extremely important,Extremely important,Extremely important,Extremely important,Strongly support,Very favorable,Female,65-69 years,No,Yes,"Married,",Always,Democrat,Liberal,Graduate or professional degree,"Retired and not working at all,",No,White/Caucasian, , , , , ,No,No,No,"$100,000 to less than $125,000",F,E,67,C,1,1.170382
115231,210623,75,75+, ,75+,Yes,Not very Likely,Extremely important,Very important,Somewhat important,Very important,Somewhat support,Somewhat favorable,Female,75 + years,Yes,Yes,"Married,",Most of the time,Republican,Conservative,Graduate or professional degree,"Retired and not working at all,",No,White/Caucasian, , , , , ,No,No,No,"$75,000 to less than $100,000",F,S,75,C,1,1.063092
115399,210623,73,70-74, ,70-74,Yes,Not at all likely,Extremely important,Extremely important,Extremely important,Extremely important,Strongly support,Extremely favorable,Female,70-74 years,Yes,Yes,"Married,",Always,Independent,Liberal,"Post high school education, but with no degree","Retired and not working at all,",No,White/Caucasian, , , , , ,No,No,No,"$75,000 to less than $100,000",F,S,73,C,3,1.062288
115507,210623,53,50-54, ,50-54,Yes,Extremely likely,Extremely important,Extremely important,Extremely important,Extremely important,Strongly support,Extremely favorable,Female,50-54 years,No,Yes,Currently Single and never been married,Always,Democrat,None of the above [DO NOT READ],4-year college degree,Employed full-time,No,Black/African American, , , , , ,No,No,No,Don't know or refused [DO NOT READ],F,E,53,B,5,.922958
115535,210623,61,60-64, ,60-64,Yes,Not at all likely,Extremely important,Extremely important,Very important,Extremely important,Strongly support,Very favorable,Female,60-64 years,No,Yes,Currently Single and never been married,Always,Democrat,Moderate,High school graduate or equivalent,"Retired and not working at all,",No,Black/African American, , , , , ,No,No,No,Don't know or refused [DO NOT READ],F,E,61,B,6,.813436
115555,210625,63,60-64, ,60-64,Yes,Somewhat Likely,Extremely important,Extremely important,Extremely important,Extremely important,Strongly support,Very favorable,Female,60-64 years,No,Yes,"Married,",Most of the time,Democrat,Moderate,"Post high school education, but with no degree","Retired and not working at all,",No,White/Caucasian, , , , , ,No,No,Yes,Don't know or refused [DO NOT READ],F,E,62,C,7,1.079926
115562,210625,57,55-59, ,55-59,Yes,Not at all likely,Somewhat important,Very important,Very important,Very important,Strongly support,Extremely favorable,Male,55-59 years,No,Yes,"Married,",Always,Democrat,Liberal,4-year college degree,Employed full-time,No,White/Caucasian, , , , , ,No,No,No,"$25,000 to less than $35,000",M,U,57,C,6,1.258484
115567,210625,60,60-64, ,60-64,Yes,Very Likely,Extremely important,Extremely important,Extremely important,Extremely important,Strongly support,Extremely favorable,Male,60-64 years,No,Yes,Currently Single and never been married,Always,Republican,Conservative,4-year college degree,Employed full-time,No,White/Caucasian, , , , , ,No,No,No,"$75,000 to less than $100,000",M,S,59,C,6,1.27489
115613,210623,60,60-64, ,60-64,Yes,Not at all likely,Not at all important,Very important,Not very important,Not very important,Don't know or refused [DO NOT READ],Not very favorable,Female,60-64 years,Yes,Yes,"Married,",Always,Independent,Conservative,2-year college degree,"Retired and not working at all,",No,White/Caucasian, , , , , ,No,No,No,Don't know or refused [DO NOT READ],M,S,73,C,5,1.079926
115734,210625,61,60-64, ,60-64,Yes,Very Likely,Extremely important,Extremely important,Extremely important,Very important,Strongly support,Extremely favorable,Female,60-64 years,Yes,Yes,Currently Single and never been married,Most of the time,Republican,Don't know or refused [DO NOT READ],"Post high school education, but with no degree","Retired and not working at all,",No,White/Caucasian, , , , , ,No,No,No,"Less than $15,000",F,S,61,C,1,1.079926
115814,210623,77,75+, ,75+,Yes,Not at all likely,Extremely important,Not at all important,Not very important,Not very important,Somewhat oppose,Not at all favorable,Male,75 + years,No,Yes,"Married,",Always,Republican,Conservative,2-year college degree,"Retired and not working at all,",No,White/Caucasian, , , , , ,No,No,No,Don't know or refused [DO NOT READ],F,U,71,C,5,.995835
115844,210623,80,75+, ,75+,Yes,Somewhat Likely,Extremely important,Extremely important,Extremely important,Extremely important,Strongly support,Extremely favorable,Female,75 + years,No,Yes,"Widowed,",Always,Independent,Conservative,High school graduate or equivalent,"Retired and not working at all,",No,White/Caucasian, , , , , ,No,No,No,Don't know or refused [DO NOT READ],F,S,79,C,6,1.063092
115852,210623,73,70-74, ,70-74,Yes,Not very Likely,Very important,Very important,Extremely important,Extremely important,Neither support or oppose [DO NOT READ],Don't know or refused [DO NOT READ],Female,70-74 years,Yes,Yes,"Married,",Always,Don't know or refused [DO NOT READ],Don't know or refused [DO NOT READ],High school graduate or equivalent,"Retired and not working at all,",No,White/Caucasian, , , , , ,No,No,No,"$50,000 to less than $60,000",M,S,50,C,3,1.062288
115917,210625,63,60-64, ,60-64,Yes,Extremely likely,Extremely important,Extremely important,Extremely important,Extremely important,Strongly support,Extremely favorable,Female,60-64 years,No,Yes,"Married,",Most of the time,Democrat,Liberal,Graduate or professional degree,Employed full-time,No,White/Caucasian, , , , , ,No,No,No,"$100,000 to less than $125,000",F,S,62,C,1,1.079926
116004,210625,55,55-59, ,55-59,Yes,Extremely likely,Very important,Very important,Very important,Very important,Strongly support,Very favorable,Male,55-59 years,No,Yes,"Married,",Always,Republican,Conservative,4-year college degree,Employed full-time,No,White/Caucasian, , , , , ,No,No,No,"$150,000 to less than $200,000",M,S,54,C,4,1.258484
116007,210623,65,65-69, ,65-69,Yes,Very Likely,Extremely important,Very important,Extremely important,Extremely important,Strongly support,Very favorable,Female,65-69 years,No,Yes,"Married,",Always,Democrat,Liberal,Graduate or professional degree,Employed full-time,No,White/Caucasian, , , , , ,No,No,No,"$125,000 to less than $150,000",F,E,64,C,6,1.170382
116091,210623,54,50-54, ,50-54,Yes,Not at all likely,Somewhat important,Somewhat important,Not at all important,Not at all important,Strongly oppose,Not at all favorable,Female,50-54 years,Yes,Yes,"Divorced,",Always,Independent,Conservative,High school graduate or equivalent,Not in the labor force for other reasons,No,Black/African American,White/Caucasian, , , , ,No,No,No,"$15,000 to less than $25,000",F,S,54,C,6,.456126
116106,210623,80,75+, ,75+,Yes,Not at all likely,Not very important,Very important,Not at all important,Not at all important,Strongly oppose,Not at all favorable,Male,75 + years,No,Yes,"Married,",Most of the time,Independent,Conservative,Graduate or professional degree,"Retired and not working at all,",No,White/Caucasian, , , , , ,No,No,No,"$200,000 or more",F,S,76,C,2,.995835
116139,210625,58,55-59, ,55-59,Yes,Somewhat Likely,Extremely important,Very important,Very important,Very important,Strongly support,Extremely favorable,Male,55-59 years,No,Yes,"Married,",Most of the time,Independent,Conservative,High school graduate or equivalent,Employed full-time,No,White/Caucasian, , , , , ,No,Yes,No,"$35,000 to less than $50,000",F,S,56,C,2,1.258484
116166,210623,63,60-64, ,60-64,Yes,Very Likely,Extremely important,Extremely important,Very important,Extremely important,Strongly support,Very favorable,Female,60-64 years,No,Yes,"Married,",Always,Republican,Moderate,4-year college degree,Self-employed full-time,No,White/Caucasian, , , , , ,No,No,No,"$60,000 to less than $75,000",M,S,64,C,4,1.079926
116175,210623,68,65-69, ,65-69,Yes,Don't know or refused [DO NOT READ],Extremely important,Very important,Very important,Extremely important,Somewhat support,Extremely favorable,Male,65-69 years,No,Yes,"Widowed,",About half the time,Something else,Moderate,Graduate or professional degree,"Retired and not working at all,",No,White/Caucasian, , , , , ,No,No,No,"$50,000 to less than $60,000",M,U,68,C,3,1.079787
116185,210626,64,60-64, ,60-64,Yes,Not very Likely,Extremely important,Very important,Very important,Very important,Strongly support,Very favorable,Female,60-64 years,No,Yes,"Married,",Always,Something else,Conservative,2-year college degree,Employed full-time,No,White/Caucasian, , , , , ,No,No,No,"$100,000 to less than $125,000",F,U,64,C,5,1.079926
116500,210623,79,75+, ,75+,Yes,Not very Likely,Extremely important,Extremely important,Extremely important,Extremely important,Strongly support,Very favorable,Male,75 + years,Yes,Yes,"Married,",Most of the time,Independent,Conservative,4-year college degree,"Retired and not working at all,",No,White/Caucasian, , , , , ,No,No,No,"$35,000 to less than $50,000",F,S,80,C,7,.995835
116606,210623,73,70-74, ,70-74,Yes,Don't know or refused [DO NOT READ],Extremely important,Extremely important,Extremely important,Extremely important,Strongly support,Extremely favorable,Female,70-74 years,Yes,Yes,"Married,",Most of the time,Independent,Conservative,Graduate or professional degree,"Retired and not working at all,",No,White/Caucasian, , , , , ,No,No,No,"$125,000 to less than $150,000",F,S,73,C,7,1.062288
116644,210626,64,60-64, ,60-64,Yes,Not at all likely,Extremely important,Extremely important,Extremely important,Very important,Strongly support,Somewhat favorable,Female,60-64 years,No,Yes,Currently Single and never been married,Always,Republican,Moderate,2-year college degree,"Retired and not working at all,",No,White/Caucasian, , , , , ,No,No,No,"$50,000 to less than $60,000",F,S,64,C,1,1.079926
116651,210625,50,50-54, ,50-54,Yes,Not very Likely,Extremely important,Somewhat important,Somewhat important,Somewhat important,Somewhat support,Somewhat favorable,Male,50-54 years,No,Yes,"Married,",Always,Republican,Conservative,4-year college degree,Employed full-time,No,White/Caucasian, , , , , ,No,No,No,"$100,000 to less than $125,000",M,S,54,C,2,1.123384
116741,210625,58,55-59, ,55-59,Yes,Don't know or refused [DO NOT READ],Extremely important,Very important,Somewhat important,Don't know or refused [DO NOT READ],Strongly support,Extremely favorable,Male,55-59 years,No,Yes,"Married,",About half the time,Republican,Conservative,Graduate or professional degree,Employed full-time,No,White/Caucasian, , , , , ,Yes,No,No,Don't know or refused [DO NOT READ],M,U,58,C,1,1.258484
116751,210623,59,55-59, ,55-59,Yes,Extremely likely,Extremely important,Extremely important,Extremely important,Extremely important,Strongly support,Extremely favorable,Male,55-59 years,No,Yes,"Married,",Most of the time,Independent,Conservative,Graduate or professional degree,Self-employed full-time,No,White/Caucasian, , , , , ,No,No,No,"$100,000 to less than $125,000",F,S,52,C,5,1.258484
116846,210625,59,55-59, ,55-59,Yes,Somewhat Likely,Somewhat important,Not at all important,Not at all important,Not at all important,Strongly oppose,Not at all favorable,Male,55-59 years,No,Yes,"Married,",Always,Republican,Conservative,"Post-graduate study, but with no degree",Employed full-time,No,White/Caucasian, , , , , ,No,No,No,"$150,000 to less than $200,000",M,S,59,C,1,1.258484
116868,210625,56,55-59, ,55-59,Yes,Extremely likely,Extremely important,Extremely important,Extremely important,Extremely important,Somewhat oppose,Extremely favorable,Male,55-59 years,No,Yes,"Married,",Most of the time,Democrat,Moderate,High school graduate or equivalent,Self-employed full-time,No,Black/African American, , , , , ,Yes,No,No,"$35,000 to less than $50,000",M,E,56,B,1,.947932
116892,210625,80,75+, ,75+,Yes,Somewhat Likely,Very important,Very important,Very important,Very important,Strongly support,Very favorable,Female,75 + years,No,Yes,Currently Single and never been married,Always,Independent,Moderate,High school graduate or equivalent,"Unemployed, but looking for work",No,White/Caucasian, , , , , ,No,No,No,"Less than $15,000",F,S,80,C,7,1.063092
117001,210626,68,65-69, ,65-69,Yes,Very Likely,Extremely important,Very important,Extremely important,Extremely important,Strongly support,Very favorable,Male,65-69 years,No,Yes,"Widowed,",Most of the time,Independent,Moderate,High school graduate or equivalent,"Retired and not working at all,",No,White/Caucasian, , , , , ,No,Yes,No,"$60,000 to less than $75,000",M,E,68,C,1,1.079787
117044,210625,75,75+, ,75+,Yes,Not at all likely,Very important,Very important,Very important,Very important,Strongly support,Very favorable,Male,75 + years,No,Yes,"Married,",Always,Republican,Conservative,Graduate or professional degree,Employed full-time,No,White/Caucasian, , , , , ,No,No,No,"$200,000 or more",F,E,76,C,5,.995835
117188,210626,63,60-64, ,60-64,Yes,Not at all likely,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat oppose,Not at all favorable,Male,60-64 years,No,Yes,"Married,",Most of the time,Republican,Moderate,High school graduate or equivalent,Employed full-time,No,White/Caucasian, , , , , ,No,No,No,"$50,000 to less than $60,000",M,S,62,C,7,1.27489
117243,210623,52,50-54, ,50-54,Yes,Very Likely,Very important,Very important,Very important,Very important,Strongly support,Extremely favorable,Male,50-54 years,No,Yes,"Divorced,",Always,Republican,Moderate,High school graduate or equivalent,Self-employed full-time,No,White/Caucasian, , , , , ,Yes,No,Yes,"$150,000 to less than $200,000",F,U,52,C,7,1.123384
117282,210626,65,65-69, ,65-69,Yes,Not very Likely,Extremely important,Extremely important,Extremely important,Extremely important,Strongly support,Very favorable,Male,65-69 years,No,Yes,"Not married, but living with your partner",Always,Independent,Conservative,Graduate or professional degree,Employed full-time,No,White/Caucasian, , , , , ,No,No,No,"$25,000 to less than $35,000",M,E,65,C,3,1.079787
117349,210623,69,65-69, ,65-69,Yes,Not at all likely,Not at all important,Somewhat important,Not at all important,Not very important,Strongly oppose,Not at all favorable,Male,65-69 years,No,Yes,"Divorced,",Always,Independent,Conservative,Graduate or professional degree,"Retired and not working at all,",No,White/Caucasian,Native American or Alaskan Native, , , , ,No,No,No,Don't know or refused [DO NOT READ],M,S,69, ,7,.401948
117363,210624,69,65-69, ,65-69,Yes,Very Likely,Very important,Very important,Very important,Extremely important,Strongly support,Extremely favorable,Male,65-69 years,Yes,Yes,"Widowed,",Most of the time,Republican,Don't know or refused [DO NOT READ],High school graduate or equivalent,"Retired and not working at all,",No,White/Caucasian, , , , , ,No,No,No,Don't know or refused [DO NOT READ],M,E,63,B,6,1.079787
117462,210626,68,65-69, ,65-69,Yes,Somewhat Likely,Very important,Very important,Very important,Very important,Strongly support,Very favorable,Male,65-69 years,No,Yes,"Married,",Always,Republican,Conservative,4-year college degree,Employed full-time,No,White/Caucasian, , , , , ,No,No,No,"$200,000 or more",M,U,69,C,1,1.079787
117499,210625,50,50-54, ,50-54,Yes,Extremely likely,Extremely important,Very important,Very important,Extremely important,Strongly support,Extremely favorable,Male,50-54 years,No,Yes,"Married,",Always,Democrat,Conservative,High school graduate or equivalent,Employed full-time,No,Black/African American, , , , , ,No,No,No,Don't know or refused [DO NOT READ],M,E,50,B,4,.84617
117541,210625,74,70-74, ,70-74,Yes,Somewhat Likely,Extremely important,Extremely important,Extremely important,Extremely important,Strongly support,Extremely favorable,Male,70-74 years,No,Yes,"Widowed,",Always,Independent,Liberal,2-year college degree,"Retired and not working at all,",No,Native American or Alaskan Native, , , , , ,No,Yes,No,"$15,000 to less than $25,000",F,E,75,B,6,.349399
117680,210626,65,65-69, ,65-69,Yes,Somewhat Likely,Very important,Somewhat important,Somewhat important,Very important,Neither support or oppose [DO NOT READ],Don't know or refused [DO NOT READ],Male,65-69 years,Yes,Yes,"Married,",Always,Don't know or refused [DO NOT READ],Conservative,2-year college degree,Employed full-time,No,Native American or Alaskan Native, , , , , ,No,No,No,"$60,000 to less than $75,000",M,U,67,C,1,.401948
117744,210624,65,65-69, ,65-69,Yes,Somewhat Likely,Not very important,Somewhat important,Somewhat important,Not very important,Somewhat support,Not very favorable,Male,65-69 years,Yes,Yes,"Married,",Always,Republican,Conservative,4-year college degree,"Retired and not working at all,",No,White/Caucasian, , , , , ,No,No,No,"Less than $15,000",F,S,64,C,5,1.079787
117755,210626,58,55-59, ,55-59,Yes,Extremely likely,Extremely important,Extremely important,Extremely important,Extremely important,Strongly support,Extremely favorable,Female,55-59 years,Yes,No,"Divorced,",Always,Democrat,Moderate,High school graduate or equivalent,Employed full-time,No,Black/African American, , , , , ,No,Yes,No,"$35,000 to less than $50,000",F,E,58,B,1,.966596
117805,210625,65,65-69, ,65-69,Yes,Not very Likely,Extremely important,Extremely important,Very important,Very important,Strongly support,Extremely favorable,Male,65-69 years,No,Yes,"Married,",Always,Democrat,Moderate,High school graduate or equivalent,"Retired and not working at all,",Don't know or refused [DO NOT READ],Black/African American, , , , , ,No,Yes,No,"$60,000 to less than $75,000",M,E,65,B,5,.813331
117846,210624,60,60-64, ,60-64,Yes,Not at all likely,Somewhat important,Very important,Extremely important,Extremely important,Strongly support,Very favorable,Female,60-64 years,No,Yes,"Widowed,",Most of the time,Democrat,Conservative,High school graduate or equivalent,"Unemployed, but looking for work",No,Black/African American, , , , , ,No,No,No,Don't know or refused [DO NOT READ],F,S,60,B,7,.813436
117853,210624,60,60-64, ,60-64,Yes,Somewhat Likely,Extremely important,Extremely important,Extremely important,Extremely important,Strongly support,Extremely favorable,Male,60-64 years,No,Yes,"Widowed,",Always,Independent,Conservative,High school graduate or equivalent,"Retired and not working at all,",No,White/Caucasian, , , , , ,No,No,No,"$15,000 to less than $25,000",F,S,72,B,2,1.27489
117903,210626,68,65-69, ,65-69,Yes,Not at all likely,Very important,Very important,Very important,Very important,Somewhat support,Somewhat favorable,Male,65-69 years,No,Yes,Currently Single and never been married,Always,Republican,Conservative,4-year college degree,Self-employed part-time,No,White/Caucasian, , , , , ,No,No,No,"$15,000 to less than $25,000",M,S,68,C,1,1.079787
117923,210626,71,70-74, ,70-74,Yes,Very Likely,Very important,Very important,Very important,Very important,Don't know or refused [DO NOT READ],Somewhat favorable,Female,70-74 years,No,Yes,"Widowed,",Always,Independent,Moderate,4-year college degree,"Retired and not working at all,",No,White/Caucasian, , , , , ,No,No,No,Don't know or refused [DO NOT READ],M,S,53,H,1,1.062288
117973,210626,65,65-69, ,65-69,Yes,Very Likely,Very important,Very important,Very important,Very important,Strongly oppose,Extremely favorable,Female,65-69 years,No,Yes,"Married,",Always,Independent,Conservative,High school graduate or equivalent,Employed part-time,Don't know or refused [DO NOT READ],Don't know or refused [DO NOT READ], , , , , ,No,Yes,No,"$25,000 to less than $35,000",F,E,65,B,4,.435672
118020,210626,63,60-64, ,60-64,Yes,Very Likely,Very important,Extremely important,Extremely important,Extremely important,Strongly support,Extremely favorable,Male,60-64 years,No,Yes,"Married,",Always,Republican,Conservative,High school graduate or equivalent,Self-employed part-time,No,White/Caucasian, , , , , ,No,No,No,"$75,000 to less than $100,000",M,S,63,C,7,1.27489
118026,210626,68,65-69, ,65-69,Yes,Not very Likely,Extremely important,Extremely important,Very important,Extremely important,Strongly support,Extremely favorable,Female,65-69 years,No,Yes,"Widowed,",Most of the time,Republican,Conservative,2-year college degree,"Retired and not working at all,",No,White/Caucasian, , , , , ,No,No,No,"$50,000 to less than $60,000",F,S,68,C,1,1.170382
118164,210626,53,50-54, ,50-54,Yes,Extremely likely,Don't know or refused [DO NOT READ],Somewhat important,Somewhat important,Somewhat important,Strongly oppose,Not at all favorable,Male,50-54 years,No,Yes,"Married,",Most of the time,Don't know or refused [DO NOT READ],Conservative,High school graduate or equivalent,Self-employed part-time,No,White/Caucasian, , , , , ,No,No,No,"$125,000 to less than $150,000",M,S,59,C,5,1.123384
